_id,city,county_fips,county_fips_all,county_name,county_names_all,county_weights,density,imprecise,lat,lng,military,parent_zcta,population,state_id,state_name,timezone,zcta,zip
5e4e00d4ab1cf3ecceab2e90,Fayville,25027,25027,Worcester,Worcester,{'25027':100},384.1,False,42.29204,-71.5013,False,,588,MA,Massachusetts,America/New_York,True,1745
5e4e00d4ab1cf3ecceab2e91,Holliston,25017,25017,Middlesex,Middlesex,{'25017':100},280.4,False,42.19775,-71.44499,False,,14634,MA,Massachusetts,America/New_York,True,1746
5e4e00d4ab1cf3ecceab2e92,Hopedale,25027,25027,Worcester,Worcester,{'25027':100},441.0,False,42.1248,-71.53508,False,,5951,MA,Massachusetts,America/New_York,True,1747
5e4e00d4ab1cf3ecceab2e93,Hopkinton,25017,25017,Middlesex,Middlesex,{'25017':100},219.7,False,42.2255,-71.53779,False,,17178,MA,Massachusetts,America/New_York,True,1748
5e4e00d4ab1cf3ecceab2e94,Hudson,25017,25017,Middlesex,Middlesex,{'25017':100},638.5,False,42.38868,-71.54647,False,,19868,MA,Massachusetts,America/New_York,True,1749
5e4e00d4ab1cf3ecceab2e95,Marlborough,25017,25017,Middlesex,Middlesex,{'25017':100},712.4,False,42.3494,-71.54681,False,,39776,MA,Massachusetts,America/New_York,True,1752
5e4e00d4ab1cf3ecceab2e96,Maynard,25017,25017,Middlesex,Middlesex,{'25017':100},749.0,False,42.4264,-71.45612,False,,10600,MA,Massachusetts,America/New_York,True,1754
5e4e00d4ab1cf3ecceab2e97,Mendon,25027,25027,Worcester,Worcester,{'25027':100},126.9,False,42.09302,-71.55148,False,,6068,MA,Massachusetts,America/New_York,True,1756
5e4e00d4ab1cf3ecceab2e98,Milford,25027,25027,Worcester,Worcester,{'25027':100},727.4,False,42.15678,-71.51911,False,,28862,MA,Massachusetts,America/New_York,True,1757
5e4e00d4ab1cf3ecceab2e99,Natick,25017,25017,Middlesex,Middlesex,{'25017':100},854.3,False,42.28434,-71.34983,False,,35763,MA,Massachusetts,America/New_York,True,1760
5e4e00d4ab1cf3ecceab2e9a,Sherborn,25017,25017,Middlesex,Middlesex,{'25017':100},100.7,False,42.23414,-71.37532,False,,4301,MA,Massachusetts,America/New_York,True,1770
5e4e00d4ab1cf3ecceab2e9b,Southborough,25027,25027,Worcester,Worcester,{'25027':100},265.9,False,42.30144,-71.53042,False,,9486,MA,Massachusetts,America/New_York,True,1772
5e4e00d4ab1cf3ecceab2e9c,Lincoln,25017,25017,Middlesex,Middlesex,{'25017':100},144.9,False,42.4252,-71.31039,False,,4775,MA,Massachusetts,America/New_York,True,1773
5e4e00d4ab1cf3ecceab2e9d,Stow,25017,25017,Middlesex,Middlesex,{'25017':100},146.9,False,42.42983,-71.51148,False,,7098,MA,Massachusetts,America/New_York,True,1775
5e4e00d4ab1cf3ecceab2e9e,Sudbury,25017,25017,Middlesex,Middlesex,{'25017':100},281.3,False,42.38473,-71.4234,False,,18940,MA,Massachusetts,America/New_York,True,1776
5e4e00d4ab1cf3ecceab2e9f,Wayland,25017,25017,Middlesex,Middlesex,{'25017':100},332.8,False,42.35829,-71.35918,False,,13970,MA,Massachusetts,America/New_York,True,1778
5e4e00d4ab1cf3ecceab2ea0,Woburn,25017,25017,Middlesex,Middlesex,{'25017':100},1186.2,False,42.487,-71.15426,False,,40350,MA,Massachusetts,America/New_York,True,1801
5e4e00d4ab1cf3ecceab2ea1,Burlington,25017,25017,Middlesex,Middlesex,{'25017':100},807.3,False,42.50216,-71.20257,False,,27059,MA,Massachusetts,America/New_York,True,1803
5e4e00d4ab1cf3ecceab2ea2,Andover,25009,25009,Essex,Essex,{'25009':100},415.8,False,42.64655,-71.16505,False,,35609,MA,Massachusetts,America/New_York,True,1810
5e4e00d4ab1cf3ecceab2ea3,Billerica,25017,25017,Middlesex,Middlesex,{'25017':100},706.4,False,42.55017,-71.25217,False,,33016,MA,Massachusetts,America/New_York,True,1821
5e4e00d4ab1cf3ecceab2ea4,Chelmsford,25017,25017,Middlesex,Middlesex,{'25017':100},541.5,False,42.59114,-71.35564,False,,25955,MA,Massachusetts,America/New_York,True,1824
5e4e00d4ab1cf3ecceab2ea5,Dracut,25017,25017,Middlesex,Middlesex,{'25017':100},549.6,False,42.68314,-71.30061,False,,31101,MA,Massachusetts,America/New_York,True,1826
5e4e00d4ab1cf3ecceab2ea6,Dunstable,25017,25017,Middlesex,Middlesex,{'25017':100},74.6,False,42.67642,-71.5005,False,,3345,MA,Massachusetts,America/New_York,True,1827
5e4e00d4ab1cf3ecceab2ea7,Haverhill,25009,25009,Essex,Essex,{'25009':100},702.1,False,42.79591,-71.05314,False,,26695,MA,Massachusetts,America/New_York,True,1830
