,Address,AreaSpace_SQFT,Bathrooms,Bedrooms,Cooling,Date_available,DaysOnZillow,Deposit_fees,Description,HOAFee,Heating,Latitude,Laundry,Locality,Longitude,Lot,Parking,Pets,PredictionPrice,PredictionRent,Price,Price_PerSQFT,Rent,RentRatio,Rentzestimate,SaleHistory,Saves,State,Status,TransitScore,Type,WalkScore,YearBuilt,ZestimatePrice,ZipCode,_id,location,zid
,"23243 Skila Dr, Elmendorf, TX 78112",1536,2.0,3,Central,,,,,,Forced air,29.175861,,Elmendorf,-98.411325,0.49 acres,Carport,,,1444.1682860106362,145000,94,,0.009959781282831974,,"[{'event': 'Price change', 'date': '5/2/2019', 'price': '$145,000(-2.4%)'}, {'event': 'Price change', 'date': '4/2/2019', 'price': '$148,500(-1%)'}, {'event': 'Listed for sale', 'date': '2/16/2019', 'price': '$150,000(+500%)'}, {'event': 'Sold', 'date': '2/23/2016', 'price': '$25,000--'}]",,TX,For sale,,Single Family,,2016,0,78112,5cff30c250bcd3bcc330e86b,"{'type': 'Point', 'coordinates': [-98.411325, 29.175861]}",102486276
,"10015 Aliann RdAtascosa, TX 78002",0,0.0,0,No Data,,,,,,No Data,29.32416,,10015 Aliann RdAtascosa,-98.691121,"5,489 sqft",No Data,,,,,,,,,,,TX,Sold,,Single Family,,No Data,0,78002,5cff2f7150bcd3bcc330e858,"{'type': 'Point', 'coordinates': [-98.691121, 29.32416]}",102488880
,"9911 7th StAtascosa, TX 78002",0,0.0,0,No Data,,,,,,No Data,29.325444,,9911 7th StAtascosa,-98.69124,0.96 acres,No Data,,,,,,,,,,,TX,Sold,,Single Family,,No Data,0,78002,5cff2f7b50bcd3bcc330e859,"{'type': 'Point', 'coordinates': [-98.69124, 29.325444]}",102490998
,"RockportAtascosa, TX 78002",0,0.0,0,No Data,,,,,,No Data,29.323752,,RockportAtascosa,-98.691438,"9,365 sqft",No Data,,,,,,,,,,,TX,Sold,,Single Family,,No Data,0,78002,5cff2f8950bcd3bcc330e85a,"{'type': 'Point', 'coordinates': [-98.691438, 29.323752]}",102491819
,"10015 Aliann DrAtascosa, TX 78002",0,0.0,0,No Data,,,,,,No Data,29.324166,,10015 Aliann DrAtascosa,-98.691128,"1,786 sqft",No Data,,,,,,,,,,,TX,Sold,,Single Family,,No Data,0,78002,5cff2f9550bcd3bcc330e85b,"{'type': 'Point', 'coordinates': [-98.691128, 29.324166]}",102515371
,"10146 Ladd RdAtascosa, TX 78002",0,0.0,0,No Data,,,,,,No Data,29.324231,,10146 Ladd RdAtascosa,-98.691371,0.39 acres,No Data,,,,,,,,,,,TX,Sold,,Single Family,,No Data,0,78002,5cff2fa150bcd3bcc330e85c,"{'type': 'Point', 'coordinates': [-98.691371, 29.324231]}",102528431
,"251 Stonewall St, San Antonio, TX 78214",1826,2.0,3,Central,,,,,,Forced air,29.373796,,San Antonio,-98.501476,"9,147 sqft",2 spaces,,,,219999,120,,,,"[{'event': 'Listed for sale', 'date': '6/4/2019', 'price': '$219,999(+1194.1%)'}, {'event': 'Listing removed', 'date': '10/6/2014', 'price': '$17,000--'}, {'event': 'Price change', 'date': '7/10/2014', 'price': '$17,000(-26.1%)'}, {'event': 'Listed for sale', 'date': '4/18/2014', 'price': '$23,000--'}]",,TX,New construction,,Single Family,,2019,213253,78214,5cff329d16264002a530e512,"{'type': 'Point', 'coordinates': [-98.501476, 29.373796]}",102530232
,"1202 N 14th St, Wolfforth, TX 79382",3255,3.5,4,Central,,,,,,Other,33.530057,,Wolfforth,-101.997173,0.29 acres,No Data,,,2482.892938365798,415000,127,,0.005982874550279031,,"[{'event': 'Price change', 'date': '4/17/2019', 'price': '$415,000(-2.4%)'}, {'event': 'Listed for sale', 'date': '2/12/2019', 'price': '$425,000--'}, {'event': 'Listing removed', 'date': '10/23/2018', 'price': '$425,000--'}, {'event': 'Price change', 'date': '7/16/2018', 'price': '$425,000(-2.3%)'}, {'event': 'Listed for sale', 'date': '6/28/2018', 'price': '$435,000(+1354.8%)'}]",,TX,For sale,,Single Family,,2016,0,79382,5d031a94cc053832e47ecff9,"{'coordinates': [-101.997173, 33.530057], 'type': 'Point'}",102557621
,"325 Cedar Ridge Rd, Longview, TX 75602",2186,2.0,3,No Data,,,,,,No Data,32.463278,,Longview,-94.61443,1.15 acres,2 spaces,,,1525.4485201914104,284900,130,,0.00535432966020151,,"[{'event': 'Listed for sale', 'date': '5/19/2019', 'price': '$284,900--'}, {'event': 'Listing removed', 'date': '4/10/2019', 'price': '$284,900--'}, {'event': 'Price change', 'date': '11/27/2018', 'price': '$284,900(0%)'}, {'event': 'Price change', 'date': '9/20/2018', 'price': '$284,999(-1%)'}, {'event': 'Price change', 'date': '8/6/2018', 'price': '$288,000(-0.3%)'}]",,TX,For sale,,Single Family,,2012,276411,75602,5cfee3cf16264002a530e3af,"{'type': 'Point', 'coordinates': [-94.61443, 32.463278]}",102560792
,"8925 County Road 6875, Lubbock, TX 79407",3226,3.0,4,Central,,,,,,Forced air,33.549189,,Lubbock,-102.014834,1 acre,Attached Garage,,,2365.9293007773676,535000,166,,0.00442229775846237,,"[{'event': 'Listed for sale', 'date': '5/16/2019', 'price': '$535,000--'}]",,TX,For sale,,Single Family,,2016,511511,79407,5cff475e16264002a530e62e,"{'type': 'Point', 'coordinates': [-102.014834, 33.549189]}",102572911
